Train Acc.	Valid Acc.	
81.634000	94.860000	
81.224000	94.980000	
84.104000	94.880000	
74.642000	95.020000	
84.806000	95.170000	
82.810000	94.970000	
81.714000	94.980000	
82.898000	95.010000	
83.900000	95.100000	
80.068000	94.930000	
82.874000	94.950000	
80.620000	95.020000	
79.384000	94.870000	
82.148000	94.880000	
82.432000	94.930000	
80.238000	95.010000	
81.728000	94.970000	
81.684000	94.960000	
81.286000	94.950000	
82.062000	95.050000	
82.396000	95.040000	
80.300000	94.950000	
80.376000	95.090000	
82.482000	94.980000	
83.056000	95.020000	
83.478000	95.020000	
81.536000	95.020000	
79.646000	94.970000	
79.690000	95.100000	
80.528000	95.040000	
80.358000	94.960000	
81.820000	95.000000	
83.146000	94.990000	
78.178000	95.040000	
80.534000	95.030000	
80.278000	94.990000	
81.126000	94.930000	
80.648000	95.020000	
83.126000	94.970000	
79.792000	95.010000	
79.082000	94.890000	
80.644000	94.990000	
80.912000	95.100000	
81.588000	94.940000	
80.386000	95.030000	
80.880000	95.030000	
81.078000	95.130000	
82.046000	94.970000	
81.822000	94.940000	
82.380000	95.010000	
81.508000	95.000000	
80.970000	95.030000	
83.648000	95.110000	
82.814000	95.110000	
83.294000	95.050000	
80.862000	95.040000	
79.448000	95.040000	
80.596000	94.980000	
81.880000	95.080000	
80.968000	95.180000	
80.542000	95.100000	
82.258000	95.030000	
76.590000	94.990000	
83.378000	95.080000	
82.960000	95.120000	
82.370000	95.120000	
81.742000	95.010000	
83.396000	95.100000	
82.848000	94.990000	
80.296000	94.940000	
78.846000	95.030000	
79.980000	94.980000	
83.198000	95.060000	
82.170000	94.990000	
82.608000	94.940000	
80.730000	94.990000	
80.870000	95.090000	
81.850000	95.000000	
84.078000	95.010000	
82.152000	95.050000	
83.946000	95.130000	
80.200000	95.160000	
84.546000	95.090000	
79.362000	95.000000	
81.070000	94.970000	
79.784000	95.020000	
81.218000	95.070000	
85.212000	95.040000	
81.938000	94.960000	
77.954000	94.940000	
